\$gwt_version\s?=\s?"([\d.]+)"	1	Google Web Toolkit (GWT)	Low	Certain
accounting\.js v([\d.]+)	1	accounting.js	Information	Certain
akka-http/([\d.]+)	1	Akka HTTP	Low	Certain
Alterian-CME/([\d.]+)	1	Alterian-CME	Low	Certain
([-\d.]+)amzn1.x86_64	1	Amazon Linux	Low	Certain
AOLserver/([\d.]+)	1	AOL web Server	Low	Certain
Apache/([\d.]+(?: \([ \w]+\))?)	1	Apache	Low	Certain
Apache-Coyote/([\d.]+)	1	Apache Coyote (Tomcat)	Low	Certain
>Apache Subversion</a>\s+version\s+([\d.]+(?:\s*\(r\d+\))?)	1	Apache Subversion	Low	Certain
Apache Tomcat/([\d.]+)	1	Apache Tomcat	Low	Certain
ARR/([\d.]+)	1	IIS Application Request Routing	Low	Certain
Artifactory/([\d.]+)	1	Artifactory	Low	Certain	2
ASP\.NET Version:([\d.]+)	1	ASP.Net	Low	Firm
awselb/([\d.]+)	1	AWS Elastic Load Balancer	Low	Certain
((?i)Boa)/(\d+\.[\d.rc]+)	1	BOA Web Server	Low	Certain	2
Cherokee/(\d+\.[\d.b]+)(\s+\([a-zA-Z]+\))?	1	Cherokee Web Server	Low	Certain 2
CKEDITOR.*version:"([\d.]+)"	1	CKEditor	Information	Certain
Communique/([\d.-]+)	1	Adobe Communique	Low	Certain
ecstatic-([\d.-]+)	1	Ecstatic (deprecated)	Medium	Certain
Ember\.VERSION\s*=\s*["']([\w.]+)["']	1	Ember	Information	Certain	2
http://errors\.angularjs\.org/([\d.]+)/	1	AngularJS	Information	Certain
gunicorn/([\d.]+)	1	Gunicorn	Low	Certain
h2o/([\d.]+(-DEV)?)	1	H2O	Low	Certain
Hiawatha v([\d.]+)	1	Hiawatha	Low	Certain
Handlebars\.VERSION\s*=\s*["']([\w.]+)["']	1	Handlebars.js	Information	Certain	2
IBM_HTTP_Server/([\d.]+)	1	IBM HTTP Server	Low	Certain
iText ([\d.]+)	1	iText	Low	Certain
IWeb/([\d.]+)	1	360vision CCTV Web Server	Low	Certain
JasperReports Library version ([\d.]+)	1	JasperReports	Low	Certain
Jersey: ([\d.]+)	1	Jersey RESTful Web Services Framework	Low	Certain
Jetty\s?\(?([a-z\d.]+(-SNAPSHOT)?)\)?	1	Jetty	Low	Certain	3
JBoss-([\d.]+(?:GA)?)	1	JBoss	Low	Certain	2
JBoss-EAP/([\d.]+)	1	JBoss Enterprise Application Platform	Low	Certain		https://developers.redhat.com/products/eap/overview/
JBoss_([\d_]+)	1	JBoss	Low	Certain
JBPAPP_([\d_]+(?:GA)?)	1	JBoss	Low	Certain
JBoss\s?Web[/-]{1}([\d.]+(?:GA)?)	1	JBoss Webserver	Low	Certain	4
\bjdk(\d[x\d._]+)	1	Java JDK	Low	Certain
Joomla! ([\d.]+)	1	Joomla!	Low	Certain
\bJSF/([\d.]+)	1	Java Server Faces	Low	Certain
JSP/([\d.]+)	1	Generic Java Servlet engine (possibly JBoss)	Low	Certain    
jQuery JavaScript Library v([\d.]+)	1	jQuery JavaScript Library	Information	Certain
jQuery UI ([\d.]+)	1	jQuery UI	Information	Certain
jQuery UI Core ([\d.]+)	1	jQuery UI Core	Information	Certain
jQuery UI Touch Punch ([\d.]+)	1	jQuery UI Touch Punch	Information	Certain
jQuery hashchange event - v([\d.]+)	1	jQuery hashchange event	Information	Certain
